VERIS Threat Action,MITRE ATTACK Technique,NIST 800-53 Control
action.error.variety.capacity_shortage,,AU-2
action.error.variety.capacity_shortage,,AU-4
action.error.variety.capacity_shortage,,AU-5
action.error.variety.capacity_shortage,,CP-2
action.error.variety.classification_error,,AC-3
action.error.variety.classification_error,,AC-4
action.error.variety.classification_error,,AC-16
action.error.variety.classification_error,,AC-24
action.error.variety.classification_error,,AU-10
action.error.variety.classification_error,,CP-9
action.error.variety.classification_error,,IA-2
action.error.variety.classification_error,,IR-9
action.error.variety.classification_error,,MA-5
action.error.variety.classification_error,,MP-4
action.error.variety.classification_error,,MP-6
action.error.variety.classification_error,,MP-8
action.error.variety.classification_error,,PE-13
action.error.variety.classification_error,,PE-19
action.error.variety.classification_error,,PE-22
action.error.variety.classification_error,,PM-11
action.error.variety.classification_error,,PS-3
action.error.variety.classification_error,,SA-3
action.error.variety.classification_error,,SA-4
action.error.variety.classification_error,,SA-5
action.error.variety.classification_error,,SA-8
action.error.variety.classification_error,,SA-10
action.error.variety.classification_error,,SA-11
action.error.variety.classification_error,,SC-4
action.error.variety.classification_error,,SC-7
action.error.variety.classification_error,,SC-28
action.error.variety.classification_error,,SI-23
action.error.variety.classification_error,,SR-4
action.error.variety.data_entry_error,,AT-3
action.error.variety.data_entry_error,,AU-3
action.error.variety.data_entry_error,,AU-10
action.error.variety.data_entry_error,,CM-3
action.error.variety.data_entry_error,,SA-8
action.error.variety.data_entry_error,,SA-21
action.error.variety.data_entry_error,,SI-10
action.error.variety.disposal_error,,CM-13
action.error.variety.disposal_error,,IR-4
action.error.variety.disposal_error,,MP-6
action.error.variety.disposal_error,,PM-30
action.error.variety.disposal_error,,PT-2
action.error.variety.disposal_error,,PT-3
action.error.variety.disposal_error,,SA-10
action.error.variety.disposal_error,,SR-9
action.error.variety.disposal_error,,SI-12
action.error.variety.disposal_error,,SI-18
action.error.variety.disposal_error,,SR-2
action.error.variety.disposal_error,,SR-3
action.error.variety.disposal_error,,SR-4
action.error.variety.disposal_error,,SR-12
action.error.variety.gaffe,,IR-4
action.error.variety.gaffe,,IR-9
action.error.variety.loss,,CP-2
action.error.variety.loss,,CP-9
action.error.variety.loss,,MP-5
action.error.variety.loss,,PM-11
action.error.variety.maintenance_error,,CP-6
action.error.variety.maintenance_error,,CP-7
action.error.variety.maintenance_error,,CP-8
action.error.variety.maintenance_error,,IR-4
action.error.variety.maintenance_error,,PE-18
action.error.variety.maintenance_error,,SA-8
action.error.variety.maintenance_error,,SA-11
action.error.variety.maintenance_error,,SA-17
action.error.variety.maintenance_error,,SI-11
action.error.variety.malfunction,,AC-4
action.error.variety.malfunction,,AU-6
action.error.variety.malfunction,,CM-2
action.error.variety.malfunction,,CM-3
action.error.variety.malfunction,,CM-5
action.error.variety.malfunction,,CM-6
action.error.variety.malfunction,,CM-9
action.error.variety.malfunction,,CP-4
action.error.variety.malfunction,,IR-4
action.error.variety.malfunction,,PL-8
action.error.variety.malfunction,,RA-5
action.error.variety.malfunction,,SA-5
action.error.variety.malfunction,,SA-8
action.error.variety.malfunction,,SA-10
action.error.variety.malfunction,,SA-11
action.error.variety.malfunction,,SA-15
action.error.variety.misconfiguration,,AC-4
action.error.variety.misconfiguration,,AC-6
action.error.variety.misconfiguration,,AT-3
action.error.variety.misconfiguration,,AU-6
action.error.variety.misconfiguration,,CM-2
action.error.variety.misconfiguration,,CM-3
action.error.variety.misconfiguration,,CM-5
action.error.variety.misconfiguration,,CM-6
action.error.variety.misconfiguration,,CM-9
action.error.variety.misconfiguration,,CP-4
action.error.variety.misconfiguration,,IR-4
action.error.variety.misconfiguration,,PL-8
action.error.variety.misconfiguration,,RA-5
action.error.variety.misconfiguration,,SA-5
action.error.variety.misconfiguration,,SA-8
action.error.variety.misconfiguration,,SA-10
action.error.variety.misconfiguration,,SA-11
action.error.variety.misconfiguration,,SA-15
action.error.variety.misdelivery,,AC-2
action.error.variety.misdelivery,,AC-3
action.error.variety.misdelivery,,AC-6
action.error.variety.misdelivery,,AT-2
action.error.variety.misdelivery,,AT-3
