tac_low,tac_high,ctrl_low,ctrl_high,prob
0.00,0.15,0.00,0.15,1.00
0.15,0.33,0.00,0.15,1.00
0.33,0.66,0.00,0.15,1.00
0.66,0.90,0.00,0.15,1.00
0.90,1.00,0.00,0.15,1.00
0.00,0.15,0.15,0.33,0.33
0.15,0.33,0.15,0.33,0.90
0.33,0.66,0.15,0.33,1.00
0.66,0.90,0.15,0.33,1.00
0.90,1.00,0.15,0.33,1.00
0.00,0.15,0.33,0.66,0.25
0.15,0.33,0.33,0.66,0.33
0.33,0.66,0.33,0.66,0.75
0.66,0.90,0.33,0.66,0.90
0.90,1.00,0.33,0.66,1.00
0.00,0.15,0.66,0.90,0.05
0.15,0.33,0.66,0.90,0.10
0.33,0.66,0.66,0.90,0.50
0.66,0.90,0.66,0.90,0.80
0.90,1.00,0.66,0.90,1.00
0.00,0.15,0.90,1.00,0.00
0.15,0.33,0.90,1.00,0.05
0.33,0.66,0.90,1.00,0.10
0.66,0.90,0.90,1.00,0.50
0.90,1.00,0.90,1.00,1.00
