victim.orgsize,action,actor,victim.region,victim.industry.name,attribute,incident,IDnum
large,unknown,external,emea,healthcare,c,T,1
small,misuse,internal,na,professional,i,T,2
large,malware,external,na,healthcare,i,T,3
large,hacking,external,emea,educational,c,F,4
unknown,social,partner,apac,construction,i,F,5
unknown,error,partner,apac,professional,c,F,6
small,hacking,external,emea,information,c,T,7
large,error,external,emea,manufacturing,i,F,8
large,unknown,external,na,healthcare,c,T,9
small,hacking,external,na,healthcare,c,T,10
small,social,external,emea,information,i,T,11
small,error,internal,na,healthcare,c,T,12
large,hacking,partner,apac,public,i,F,13
small,social,partner,apac,retail,a,F,14
small,malware,external,emea,administrative,a,F,15
small,error,internal,emea,healthcare,c,T,16
large,error,internal,emea,public,c,T,17
unknown,hacking,partner,emea,mining,a,F,18
small,error,external,na,professional,i,T,19
unknown,misuse,partner,emea,retail,c,F,20
small,hacking,external,emea,information,c,T,21
unknown,error,internal,lac,administrative,a,F,22
large,social,external,na,public,i,T,23
unknown,malware,external,lac,management,c,F,24
small,hacking,partner,na,entertainment,a,F,25
large,error,internal,na,public,c,T,26
large,unknown,external,apac,retail,c,T,27
unknown,malware,internal,na,public,a,F,28
unknown,misuse,external,lac,accommodation,c,F,29
large,error,partner,na,public,c,T,30
small,malware,partner,lac,transportation,c,F,31
unknown,error,internal,apac,realestate,c,F,32
unknown,error,internal,emea,healthcare,c,T,33
small,error,internal,apac,professional,c,T,34
large,hacking,partner,lac,trade,a,F,35
unknown,misuse,external,lac,educational,c,F,36
unknown,social,partner,lac,otherservices,i,F,37
small,error,internal,na,public,c,T,38
unknown,social,external,na,manufacturing,a,F,39
large,error,internal,na,information,c,T,40
unknown,hacking,external,apac,information,i,F,41
unknown,misuse,partner,apac,healthcare,c,T,42
unknown,error,external,na,professional,i,F,43
small,misuse,internal,na,healthcare,c,T,44
unknown,misuse,partner,na,accommodation,i,F,45
small,hacking,external,na,finance,c,T,46
small,social,external,na,construction,i,T,47
small,error,internal,emea,finance,c,F,48
unknown,error,internal,apac,public,c,T,49
small,error,partner,na,otherservices,c,F,50
small,error,internal,lac,mining,i,F,51
small,error,internal,apac,information,c,T,52
large,misuse,internal,na,healthcare,c,T,53
unknown,malware,internal,apac,manufacturing,i,F,54
small,unknown,external,na,healthcare,c,T,55
small,social,external,emea,healthcare,i,T,56
small,malware,external,na,healthcare,i,T,57
large,error,internal,na,administrative,i,T,58
large,hacking,partner,emea,otherservices,c,F,59
small,social,external,apac,information,c,F,60
unknown,hacking,partner,emea,realestate,c,F,61
small,error,partner,lac,professional,c,F,62
small,social,partner,lac,utilities,c,F,63
large,hacking,partner,lac,entertainment,c,F,64
large,malware,internal,apac,manufacturing,a,F,65
large,hacking,external,apac,information,i,F,66
small,hacking,external,na,professional,c,T,67
unknown,social,external,na,public,i,T,68
small,malware,external,emea,professional,i,T,69
unknown,misuse,internal,apac,healthcare,c,T,70
large,social,external,emea,professional,c,F,71
small,hacking,internal,lac,healthcare,c,F,72
small,social,partner,na,professional,i,T,73
large,unknown,internal,na,transportation,c,T,74
large,hacking,external,na,finance,c,T,75
small,malware,external,na,professional,i,T,76
large,misuse,partner,na,finance,c,F,77
small,hacking,external,emea,finance,c,T,78
large,misuse,internal,na,healthcare,c,T,79
small,error,partner,na,finance,c,T,80
small,hacking,external,apac,realestate,i,F,81
unknown,hacking,external,apac,finance,c,F,82
large,error,internal,apac,public,c,T,83
large,error,external,emea,information,i,F,84
unknown,error,partner,apac,otherservices,i,F,85
small,misuse,external,apac,educational,i,F,86
small,error,internal,apac,professional,c,T,87
large,error,internal,emea,realestate,c,T,88
small,hacking,external,na,public,c,T,89
small,hacking,external,na,healthcare,c,T,90
small,malware,external,na,otherservices,i,T,91
large,social,external,na,healthcare,i,T,92
small,unknown,external,na,retail,i,T,93
large,error,external,lac,transportation,c,F,94
large,error,partner,emea,healthcare,c,T,95
small,unknown,external,apac,information,c,T,96
large,misuse,internal,apac,trade,i,F,97
unknown,social,partner,na,trade,a,F,98
unknown,malware,internal,na,public,i,T,99
large,misuse,external,apac,healthcare,c,F,100
unknown,misuse,internal,na,healthcare,c,T,101
large,error,internal,apac,mining,c,T,102
large,hacking,external,emea,public,c,T,103
small,unknown,external,na,finance,i,T,104
small,misuse,external,na,educational,i,F,105
unknown,error,internal,emea,healthcare,c,T,106
small,error,internal,na,public,c,T,107
small,error,external,na,manufacturing,i,F,108
large,hacking,internal,emea,transportation,c,F,109
unknown,social,internal,emea,mining,a,F,110
unknown,hacking,external,apac,professional,c,T,111
unknown,error,partner,na,retail,i,F,112
small,error,internal,apac,healthcare,c,T,113
small,misuse,external,apac,administrative,i,F,114
unknown,social,internal,lac,mining,a,F,115
small,malware,partner,apac,realestate,a,F,116
small,social,external,na,finance,i,T,117
large,social,internal,lac,retail,a,F,118
large,malware,partner,na,otherservices,i,F,119
large,hacking,internal,na,accommodation,i,F,120
unknown,malware,external,emea,administrative,c,F,121
small,error,external,apac,transportation,a,F,122
large,error,internal,na,public,c,T,123
unknown,misuse,internal,lac,entertainment,a,F,124
small,hacking,external,na,information,i,T,125
large,malware,internal,emea,otherservices,a,F,126
large,misuse,internal,lac,administrative,a,F,127
unknown,misuse,internal,lac,administrative,c,F,128
large,hacking,external,na,administrative,c,T,129
large,hacking,internal,lac,utilities,c,F,130
unknown,misuse,internal,emea,realestate,c,T,131
unknown,misuse,internal,na,finance,c,T,132
small,hacking,internal,emea,finance,c,F,133
