orgSize,action,actor,region,industry,attribute,incident
large,error,internal,emea,professional,c,T
small,hacking,external,na,healthcare,c,T
,misuse,external,na,publicadministration,c,T
small,hacking,external,na,publicadministration,c,T
large,,internal,na,healthcare,c,T
large,misuse,external,apac,publicadministration,c,T
,misuse,internal,na,retail,c,T
small,error,internal,na,education,c,T
small,error,internal,lac,information,c,T
small,hacking,external,na,accommodation,c,T
large,hacking,external,na,transportation,c,T
small,misuse,external,global,information,c,T
small,hacking,external,na,construction,c,T
,misuse,external,emea,finance,c,T
small,error,internal,emea,finance,c,T
large,social,external,na,healthcare,c,T
large,malware,external,apac,trade,c,T
,error,partner,na,publicadministration,c,T
,misuse,internal,apac,healthcare,c,T
small,hacking,external,na,retail,c,T
large,error,external,emea,information,c,T
small,misuse,internal,lac,healthcare,c,T
small,error,external,na,finance,c,T
,error,partner,na,healthcare,c,T
small,,external,na,retail,c,T
large,social,external,na,education,c,T
small,malware,external,apac,otherservices,c,T
small,error,internal,na,transportation,c,T
large,,external,apac,retail,c,T
small,error,internal,na,healthcare,c,T
large,misuse,internal,na,healthcare,c,T
,,external,na,healthcare,c,T
,misuse,internal,emea,accommodation,c,T
small,error,internal,apac,education,c,T
small,error,internal,na,retail,c,T
small,misuse,internal,na,finance,c,T
large,error,internal,na,healthcare,c,T
large,hacking,external,emea,finance,c,T
large,hacking,external,na,finance,c,T
small,error,internal,na,education,c,T
large,misuse,internal,na,healthcare,c,T
large,hacking,external,na,accommodation,c,T
large,error,internal,emea,publicadministration,c,T
large,hacking,external,emea,publicadministration,c,T
,misuse,internal,na,healthcare,c,T
small,,external,na,finance,c,T
small,hacking,external,apac,entertainment,c,T
small,error,internal,emea,information,c,T
small,,external,na,retail,c,T
small,error,internal,na,finance,c,T
small,error,internal,na,entertainment,c,T
small,malware,external,na,healthcare,c,T
small,hacking,external,lac,finance,c,T
small,error,internal,na,education,c,T
small,,,na,professional,c,T
large,misuse,internal,na,otherservices,c,T
small,error,internal,apac,manufacturing,c,T
small,misuse,internal,na,healthcare,c,T
small,error,internal,apac,education,c,T
small,error,internal,emea,retail,c,T
large,error,internal,apac,publicadministration,c,T
small,error,internal,na,otherservices,c,T
small,hacking,external,emea,entertainment,c,T
large,hacking,external,na,healthcare,c,T
small,error,internal,na,publicadministration,c,T
,,external,global,healthcare,c,T
,error,internal,na,professional,c,T
small,error,internal,emea,information,c,T
small,,external,na,finance,c,T
,error,internal,na,professional,c,T
,error,internal,na,publicadministration,c,T
small,hacking,external,na,finance,c,T
large,error,internal,emea,publicadministration,c,T
small,misuse,external,na,healthcare,c,T
large,error,internal,na,healthcare,c,T
,error,internal,lac,unknown,c,T
small,misuse,internal,na,publicadministration,c,T
,misuse,internal,apac,manufacturing,c,T
small,,external,na,healthcare,c,T
,error,internal,na,healthcare,c,T
small,hacking,internal,na,education,c,T
large,hacking,external,na,healthcare,c,T
small,hacking,external,na,healthcare,c,T
small,hacking,external,na,information,c,T
small,,external,na,retail,c,T
,hacking,external,na,otherservices,c,T
large,error,partner,na,healthcare,c,T
,error,internal,na,professional,c,T
,misuse,external,apac,finance,c,T
,hacking,external,na,publicadministration,c,T
,,internal,na,transportation,c,T
large,misuse,internal,na,healthcare,c,T
large,hacking,external,na,education,c,T
small,hacking,external,apac,retail,c,T
large,social,external,na,education,c,T
,error,internal,emea,publicadministration,c,T
small,,external,na,accommodation,c,T
small,error,internal,emea,healthcare,c,T
,error,internal,global,otherservices,c,T
small,error,internal,na,healthcare,c,T
small,misuse,internal,na,retail,c,T
large,misuse,internal,na,transportation,c,T
small,misuse,internal,na,healthcare,c,T
small,hacking,external,na,education,c,T
large,error,external,na,publicadministration,c,T
large,misuse,internal,na,healthcare,c,T
,error,internal,na,publicadministration,c,T
small,,external,na,retail,c,T
large,error,internal,emea,retail,c,T
small,misuse,internal,na,retail,c,T
large,error,internal,emea,publicadministration,c,T
small,hacking,external,apac,otherservices,c,T
large,hacking,external,emea,professional,c,T
small,,external,na,healthcare,c,T
small,error,internal,emea,professional,c,T
,error,partner,apac,information,c,T
,,external,na,healthcare,c,T
small,malware,external,emea,administrative,c,T
large,hacking,external,na,healthcare,c,T
small,error,internal,apac,information,c,T
large,hacking,external,na,healthcare,c,T
large,error,internal,na,education,c,T
large,error,internal,na,publicadministration,c,T
,error,internal,global,information,c,T
large,misuse,internal,na,finance,c,T
small,misuse,internal,na,accommodation,c,T
large,misuse,internal,na,retail,c,T
,hacking,external,na,information,c,T
small,hacking,external,na,information,c,T
,social,external,apac,otherservices,c,T
large,error,internal,na,education,c,T
small,hacking,external,global,healthcare,c,T
small,misuse,internal,apac,information,c,T
small,misuse,internal,na,professional,c,T
small,hacking,external,na,administrative,c,T
small,hacking,external,na,finance,c,T
small,,internal,na,publicadministration,c,T
small,hacking,external,na,trade,c,T
large,hacking,external,na,education,c,T
,misuse,internal,na,healthcare,c,T
small,misuse,internal,na,healthcare,c,T
small,error,internal,emea,accommodation,c,T
large,social,external,na,healthcare,c,T
large,error,internal,na,healthcare,c,T
small,hacking,external,na,professional,c,T
large,hacking,external,na,transportation,c,T
small,hacking,external,emea,information,c,T
large,,external,na,healthcare,c,T
,error,internal,emea,publicadministration,c,T
small,misuse,internal,na,publicadministration,c,T
small,hacking,external,na,professional,c,T
small,hacking,external,emea,finance,c,T
small,error,internal,na,information,c,T
small,error,internal,na,publicadministration,c,T
small,error,internal,na,information,c,T
small,,external,na,retail,c,T
small,error,internal,na,professional,c,T
small,error,internal,emea,information,c,T
small,malware,external,apac,information,c,T
,error,internal,na,education,c,T
small,,external,na,retail,c,T
large,hacking,external,apac,finance,c,T
large,hacking,external,apac,publicadministration,c,T
small,hacking,external,apac,publicadministration,c,T
large,hacking,external,na,healthcare,c,T
small,malware,external,na,publicadministration,c,T
,malware,external,global,accommodation,c,T
large,error,internal,emea,publicadministration,c,T
large,,external,na,trade,c,T
small,social,internal,na,professional,c,T
small,error,internal,na,professional,c,T
,error,internal,na,healthcare,c,T
,misuse,internal,na,healthcare,c,T
,,external,na,healthcare,c,T
small,error,internal,apac,professional,c,T
small,hacking,external,na,trade,c,T
,misuse,internal,na,healthcare,c,T
small,error,internal,na,publicadministration,c,T
small,error,internal,na,education,c,T
small,error,internal,na,healthcare,c,T
large,misuse,internal,apac,retail,c,T
small,error,internal,na,publicadministration,c,T
large,error,internal,na,publicadministration,c,T
small,misuse,internal,na,healthcare,c,T
large,misuse,external,na,professional,c,T
large,error,internal,na,education,c,T
large,hacking,external,na,accommodation,c,T
,hacking,external,emea,healthcare,c,T
small,,external,na,retail,c,T
small,hacking,external,na,information,c,T
large,hacking,external,na,healthcare,c,T
large,,external,lac,finance,c,T
small,hacking,external,na,healthcare,c,T
small,hacking,external,emea,finance,c,T
small,,external,emea,healthcare,c,T
small,,external,na,retail,c,T
small,hacking,external,na,information,c,T
large,misuse,internal,na,education,c,T
small,malware,external,na,finance,c,T
large,misuse,internal,apac,administrative,c,T
small,hacking,external,na,healthcare,c,T
small,hacking,external,na,healthcare,c,T
small,hacking,external,emea,information,c,T
small,hacking,external,emea,publicadministration,c,T
small,hacking,external,emea,entertainment,c,T
small,hacking,external,na,information,c,T
,hacking,external,na,publicadministration,c,T
large,error,external,emea,transportation,c,T
small,hacking,external,na,finance,c,T
small,social,external,na,healthcare,c,T
small,hacking,external,na,healthcare,c,T
large,,external,na,finance,c,T
small,error,internal,na,information,c,T
small,hacking,external,na,otherservices,c,T
small,hacking,external,na,healthcare,c,T
small,error,internal,emea,information,c,T
small,,external,na,finance,c,T
small,malware,external,na,accommodation,c,T
large,hacking,external,na,healthcare,c,T
large,misuse,internal,na,healthcare,c,T
small,hacking,external,lac,transportation,c,T
,misuse,internal,emea,publicadministration,c,T
large,misuse,internal,na,healthcare,c,T
large,malware,external,apac,manufacturing,c,T
small,hacking,external,emea,professional,c,T
small,error,internal,na,healthcare,c,T
large,error,internal,emea,publicadministration,c,T
small,,internal,na,publicadministration,c,T
,error,internal,apac,unknown,c,T
small,misuse,internal,na,construction,c,T
large,error,internal,apac,information,c,T
small,hacking,external,na,information,c,T
,hacking,external,global,information,c,T
large,error,internal,na,finance,c,T
,error,external,apac,miningandutilities,c,T
small,error,internal,na,information,c,T
small,misuse,external,apac,retail,c,T
small,error,internal,na,professional,c,T
,error,internal,na,otherservices,c,T
small,,external,na,education,c,T
small,misuse,internal,na,retail,c,T
small,error,,na,healthcare,c,T
large,,external,na,publicadministration,c,T
large,hacking,external,na,healthcare,c,T
large,error,internal,lac,publicadministration,c,T
large,malware,external,emea,administrative,c,T
small,,external,na,retail,c,T
,hacking,external,na,construction,c,T
small,error,internal,emea,manufacturing,c,T
small,hacking,external,na,realestate,c,T
large,error,internal,na,information,c,T
small,,external,na,healthcare,c,T
,hacking,external,apac,healthcare,c,T
,error,internal,emea,healthcare,c,T
small,misuse,internal,na,healthcare,c,T
small,error,internal,emea,healthcare,c,T
large,hacking,external,na,accommodation,c,T
large,error,internal,na,education,c,T
,hacking,external,na,professional,c,T
large,error,internal,na,retail,c,T
small,hacking,external,na,professional,c,T
small,hacking,external,emea,information,c,T
large,error,internal,na,administrative,c,T
small,,external,na,retail,c,T
small,misuse,internal,na,accommodation,c,T
small,hacking,external,na,professional,c,T
large,hacking,external,emea,transportation,c,T
small,hacking,external,na,healthcare,c,T
,hacking,external,na,healthcare,c,T
large,error,internal,na,publicadministration,c,T
large,hacking,external,na,retail,c,T
small,error,internal,na,finance,c,T
large,misuse,internal,na,accommodation,c,T
small,hacking,external,na,retail,c,T
,error,internal,apac,information,c,T
small,hacking,external,na,transportation,c,T
large,hacking,external,na,professional,c,T
small,error,internal,apac,professional,c,T
large,error,internal,apac,information,c,T
small,error,internal,apac,publicadministration,c,T
,misuse,internal,na,healthcare,c,T
large,hacking,external,emea,publicadministration,c,T
small,error,internal,emea,healthcare,c,T
,error,internal,na,publicadministration,c,T
,misuse,internal,na,publicadministration,c,T
small,hacking,external,na,finance,c,T
small,hacking,external,na,retail,c,T
large,error,internal,na,healthcare,c,T
small,,external,na,finance,c,T
large,hacking,external,na,administrative,c,T
large,error,internal,na,healthcare,c,T
small,,external,na,healthcare,c,T
small,misuse,external,global,healthcare,c,T
large,hacking,external,na,publicadministration,c,T
large,error,internal,apac,publicadministration,c,T
small,hacking,external,na,information,c,T
small,hacking,external,na,publicadministration,c,T
large,hacking,external,emea,publicadministration,c,T
small,misuse,external,na,accommodation,c,T
large,hacking,external,na,healthcare,c,T
large,,external,na,publicadministration,c,T
small,,external,na,finance,c,T
small,,internal,na,retail,c,T
large,,external,na,finance,c,T
large,error,internal,apac,miningandutilities,c,T
small,,external,na,retail,c,T
large,malware,external,na,healthcare,c,T
small,hacking,external,emea,professional,c,T
,misuse,external,na,finance,c,T
large,error,internal,emea,publicadministration,c,T
large,misuse,internal,na,administrative,c,T
,error,internal,emea,healthcare,c,T
small,,external,na,retail,c,T
small,,external,na,retail,c,T
,error,internal,apac,healthcare,c,T
large,social,external,na,otherservices,c,T
large,hacking,external,na,retail,c,T
,hacking,external,apac,education,c,T
small,error,internal,na,retail,c,T
,social,internal,na,healthcare,c,T
large,hacking,external,na,information,c,T
small,misuse,internal,na,healthcare,c,T
large,misuse,internal,na,trade,c,T
small,error,internal,na,information,c,T
large,error,partner,na,accommodation,c,T
small,misuse,internal,na,healthcare,c,T
large,hacking,external,na,healthcare,c,T
,hacking,external,na,utilities,c,T
small,,external,na,retail,c,T
large,social,external,na,education,c,T
large,hacking,external,emea,education,c,T
small,misuse,internal,emea,entertainment,c,T
small,misuse,external,na,entertainment,c,T
small,misuse,internal,na,healthcare,c,T
large,hacking,external,na,publicadministration,c,T
large,hacking,external,na,healthcare,c,T
large,error,internal,emea,finance,c,T
large,misuse,internal,emea,finance,c,T
large,hacking,external,na,education,c,T
,error,internal,emea,healthcare,c,T
,misuse,internal,na,unknown,c,T
small,hacking,external,apac,professional,c,T
small,error,internal,na,information,c,T
small,error,internal,emea,education,c,T
small,hacking,external,na,trade,c,T
large,misuse,internal,apac,publicadministration,c,T
large,error,partner,na,healthcare,c,T
large,error,internal,na,information,c,T
large,hacking,external,na,healthcare,c,T
large,malware,external,na,healthcare,c,T
large,hacking,external,na,information,c,T
small,hacking,external,na,information,c,T
,error,internal,emea,publicadministration,c,T
large,error,internal,emea,publicadministration,c,T
small,hacking,external,na,information,c,T
,,external,emea,healthcare,c,T
large,error,internal,emea,healthcare,c,T
large,hacking,external,na,information,c,T
large,error,internal,emea,healthcare,c,T
large,error,external,na,healthcare,c,T
small,hacking,external,na,professional,c,T
large,,external,na,healthcare,c,T
large,hacking,external,apac,publicadministration,c,T
large,hacking,external,apac,finance,c,T
small,error,internal,na,professional,c,T
small,hacking,external,na,publicadministration,c,T
,hacking,external,emea,information,c,T
large,hacking,external,emea,information,c,T
,malware,external,emea,unknown,c,T
large,error,internal,na,information,c,T
small,error,internal,na,finance,c,T
large,misuse,internal,na,accommodation,c,T
small,hacking,external,emea,entertainment,c,T
small,,internal,na,publicadministration,c,T
small,error,internal,na,healthcare,c,T
small,misuse,internal,na,publicadministration,c,T
large,error,internal,na,healthcare,c,T
large,hacking,external,apac,trade,c,T
large,misuse,internal,emea,transportation,c,T
small,misuse,internal,na,healthcare,c,T
small,error,internal,emea,healthcare,c,T
,misuse,internal,na,publicadministration,c,T
,hacking,external,na,information,c,T
,hacking,external,na,publicadministration,c,T
small,error,internal,na,professional,c,T
small,error,internal,na,education,c,T
large,,external,na,publicadministration,c,T
,error,internal,emea,publicadministration,c,T
small,error,internal,lac,education,c,T
small,hacking,external,na,publicadministration,c,T
large,malware,external,na,accommodation,c,T
,misuse,internal,na,healthcare,c,T
large,hacking,external,emea,publicadministration,c,T
small,error,internal,na,finance,c,T
small,,external,na,finance,c,T
large,hacking,external,na,education,c,T
small,hacking,external,na,information,c,T
large,error,internal,na,publicadministration,c,T
small,,external,na,retail,c,T
large,misuse,internal,na,healthcare,c,T
small,social,external,na,finance,c,T
large,hacking,external,emea,trade,c,T
,,external,na,finance,c,T
large,hacking,external,na,education,c,T
large,hacking,external,na,healthcare,c,T
small,,,emea,information,c,T
large,,external,apac,finance,c,T
small,hacking,external,na,administrative,c,T
small,social,external,na,agriculture,c,T
small,misuse,external,na,construction,c,T
large,hacking,external,na,healthcare,c,T
small,hacking,external,apac,education,c,T
small,hacking,external,na,education,c,T
small,hacking,external,na,healthcare,c,T
small,hacking,external,emea,information,c,T
,misuse,internal,na,healthcare,c,T
,hacking,external,emea,publicadministration,c,T
large,misuse,internal,na,entertainment,c,T
small,hacking,external,na,healthcare,c,T
,misuse,external,na,publicadministration,c,T
small,hacking,external,na,healthcare,c,T
,error,partner,apac,healthcare,c,T
large,error,internal,na,healthcare,c,T
large,hacking,external,na,accommodation,c,T
large,social,external,na,information,c,T
,misuse,partner,apac,healthcare,c,T
large,error,partner,na,publicadministration,c,T
large,error,internal,na,education,c,T
large,misuse,internal,apac,information,c,T
,social,external,na,education,c,T
,misuse,internal,na,finance,c,T
small,error,internal,na,education,c,T
large,,external,na,finance,c,T
large,hacking,external,na,retail,c,T
,hacking,external,na,professional,c,T
large,hacking,external,na,healthcare,c,T
small,error,internal,emea,publicadministration,c,T
large,error,internal,apac,finance,c,T
small,hacking,external,na,finance,c,T
,hacking,external,na,professional,c,T
,error,internal,na,healthcare,c,T
,misuse,internal,na,trade,c,T
small,error,internal,apac,administrative,c,T
small,,external,na,finance,c,T
small,misuse,internal,na,education,c,T
large,error,internal,apac,transportation,c,T
large,error,internal,apac,finance,c,T
,error,internal,na,entertainment,c,T
small,misuse,internal,na,finance,c,T
,hacking,external,na,healthcare,c,T
small,error,internal,emea,transportation,c,T
,error,internal,emea,publicadministration,c,T
large,misuse,internal,na,healthcare,c,T
large,error,external,na,finance,c,T
small,hacking,external,na,education,c,T
small,hacking,external,na,publicadministration,c,T
small,error,internal,na,finance,c,T
small,misuse,internal,apac,publicadministration,c,T
large,hacking,external,na,administrative,c,T
large,error,internal,na,information,c,T
small,,external,na,healthcare,c,T
,misuse,internal,na,healthcare,c,T
large,error,internal,na,healthcare,c,T
small,hacking,external,global,finance,c,T
large,,external,na,finance,c,T
large,error,internal,na,retail,c,T
,error,internal,emea,publicadministration,c,T
large,misuse,internal,emea,publicadministration,c,T
small,error,internal,na,publicadministration,c,T
large,hacking,external,na,education,c,T
small,error,internal,apac,healthcare,c,T
large,misuse,internal,na,healthcare,c,T
small,hacking,external,na,information,c,T
small,misuse,external,na,professional,c,T
,error,internal,na,healthcare,c,T
small,misuse,external,apac,professional,c,T
,misuse,internal,na,professional,c,T
large,hacking,external,emea,information,c,T
small,,external,na,realestate,c,T
small,hacking,external,na,otherservices,c,T
large,social,external,na,healthcare,c,T
small,error,internal,na,information,c,T
small,malware,external,apac,manufacturing,c,T
large,error,internal,na,education,c,T
large,hacking,external,na,trade,c,T
small,error,external,na,realestate,c,T
large,misuse,internal,na,publicadministration,c,T
small,malware,external,apac,miningandutilities,c,T
large,hacking,external,na,healthcare,c,T
small,misuse,internal,na,healthcare,c,T
large,hacking,external,na,finance,c,T
large,hacking,external,na,information,c,T
small,hacking,external,apac,retail,c,T
small,error,external,na,entertainment,c,T
small,hacking,external,na,accommodation,c,T
large,hacking,external,emea,transportation,c,T
small,error,internal,na,publicadministration,c,T
small,error,internal,emea,education,c,T
large,hacking,external,na,accommodation,c,T
small,misuse,internal,na,healthcare,c,T
,error,internal,apac,publicadministration,c,T
,error,internal,apac,publicadministration,c,T
small,error,internal,na,information,c,T
large,error,internal,na,healthcare,c,T
,hacking,external,emea,information,c,T
large,hacking,external,na,information,c,T
small,error,internal,na,entertainment,c,T
small,error,internal,na,entertainment,c,T
large,hacking,external,na,information,c,T
,error,internal,na,healthcare,c,T
,misuse,internal,emea,publicadministration,c,T
small,hacking,external,apac,publicadministration,c,T
small,,external,na,healthcare,c,T
large,error,internal,na,education,c,T
small,error,internal,emea,finance,c,T
,misuse,internal,na,healthcare,c,T
small,misuse,internal,na,healthcare,c,T
,hacking,external,na,information,c,T
large,misuse,internal,emea,professional,c,T
small,hacking,external,na,healthcare,c,T
small,malware,external,na,professional,c,T
small,hacking,external,na,retail,c,T
small,hacking,external,na,trade,c,T
small,hacking,external,na,healthcare,c,T
,error,internal,na,healthcare,c,T
,hacking,external,na,information,c,T
,error,partner,emea,information,c,T
small,hacking,external,na,information,c,T
large,hacking,external,na,publicadministration,c,T
small,error,external,na,healthcare,c,T
large,error,internal,na,publicadministration,c,T
small,error,internal,apac,entertainment,c,T
large,error,internal,na,healthcare,c,T
large,hacking,external,apac,retail,c,T
small,error,internal,apac,professional,c,T
small,hacking,external,emea,professional,c,T
small,hacking,external,na,education,c,T
large,error,internal,na,information,c,T
small,error,internal,na,healthcare,c,T
large,error,internal,na,retail,c,T
large,misuse,internal,na,healthcare,c,T
,error,internal,na,publicadministration,c,T
large,error,internal,apac,education,c,T
,misuse,internal,na,healthcare,c,T
large,social,external,global,healthcare,c,T
large,error,internal,na,information,c,T
large,hacking,external,na,healthcare,c,T
,error,internal,na,publicadministration,c,T
,error,partner,lac,finance,c,T
,error,internal,na,healthcare,c,T
large,error,internal,na,finance,c,T
large,misuse,internal,apac,manufacturing,c,T
small,misuse,internal,na,publicadministration,c,T
small,error,internal,apac,professional,c,T
,misuse,internal,na,healthcare,c,T
,error,internal,na,finance,c,T
large,misuse,internal,na,healthcare,c,T
large,social,external,na,publicadministration,c,T
small,misuse,external,na,information,c,T
small,hacking,external,emea,information,c,T
small,error,internal,na,information,c,T
small,error,internal,na,healthcare,c,T
small,misuse,internal,na,healthcare,c,T
small,error,internal,apac,healthcare,c,T
large,error,partner,na,healthcare,c,T
,misuse,internal,na,healthcare,c,T
large,error,internal,na,publicadministration,c,T
large,,external,na,retail,c,T
small,error,internal,na,professional,c,T
small,misuse,partner,emea,realestate,c,T
small,misuse,internal,na,healthcare,c,T
large,error,internal,na,healthcare,c,T
,misuse,internal,na,healthcare,c,T
large,error,internal,apac,retail,c,T
,hacking,external,na,finance,c,T
,error,internal,na,retail,c,T
small,,external,na,retail,c,T
large,hacking,external,na,accommodation,c,T
,hacking,internal,na,trade,c,T
large,,internal,na,transportation,c,T
large,misuse,internal,apac,publicadministration,c,T
small,error,internal,emea,information,c,T
large,hacking,external,na,information,c,T
large,social,external,na,finance,c,T
large,,external,emea,publicadministration,c,T
small,error,internal,na,finance,c,T
small,misuse,internal,na,healthcare,c,T
large,hacking,external,na,education,c,T
large,misuse,internal,na,healthcare,c,T
,misuse,external,na,professional,c,T
large,hacking,external,na,information,c,T
small,,external,apac,information,c,T
,social,external,apac,finance,c,T
small,hacking,external,na,healthcare,c,T
large,hacking,external,na,healthcare,c,T
small,error,external,na,healthcare,c,T
large,error,partner,na,healthcare,c,T
small,malware,external,apac,manufacturing,c,T
large,hacking,external,apac,retail,c,T
small,hacking,external,global,information,c,T
small,error,external,na,healthcare,c,T
large,misuse,external,na,publicadministration,c,T
,error,internal,emea,healthcare,c,T
large,hacking,external,na,entertainment,c,T
small,hacking,external,na,retail,c,T
small,error,internal,na,realestate,c,T
small,hacking,external,emea,retail,c,T
large,hacking,internal,na,publicadministration,c,T
large,error,internal,na,healthcare,c,T
small,misuse,internal,na,construction,c,T
large,misuse,internal,na,healthcare,c,T
small,misuse,internal,na,healthcare,c,T
large,misuse,internal,na,finance,c,T
large,hacking,external,na,healthcare,c,T
,hacking,external,na,healthcare,c,T
,error,internal,emea,publicadministration,c,T
large,error,internal,na,education,c,T
,misuse,internal,na,healthcare,c,T
,hacking,external,global,information,c,T
large,misuse,internal,na,healthcare,c,T
small,malware,external,emea,professional,c,T
large,misuse,internal,lac,publicadministration,c,T
large,hacking,external,na,professional,c,T
,misuse,internal,na,healthcare,c,T
large,error,internal,na,healthcare,c,T
,misuse,internal,apac,education,c,T
large,error,internal,emea,healthcare,c,T
small,error,internal,na,information,c,T
large,error,internal,na,healthcare,c,T
large,error,partner,emea,information,c,T
,error,internal,na,otherservices,c,T
small,hacking,external,na,information,c,T
small,hacking,external,apac,retail,c,T
large,error,external,na,healthcare,c,T
large,hacking,external,na,professional,c,T
small,hacking,external,na,information,c,T
large,misuse,internal,na,healthcare,c,T
small,hacking,external,na,healthcare,c,T
large,hacking,external,apac,publicadministration,c,T
small,error,internal,lac,finance,c,T
small,hacking,external,emea,administrative,c,T
,error,internal,apac,publicadministration,c,T
,,,na,education,c,T
small,hacking,external,na,healthcare,c,T
small,,external,na,healthcare,c,T
,error,internal,na,publicadministration,c,T
small,error,internal,emea,information,c,T
small,hacking,external,na,professional,c,T
large,misuse,internal,apac,publicadministration,c,T
small,error,internal,na,healthcare,c,T
large,hacking,external,na,information,c,T
small,error,internal,emea,professional,c,T
,misuse,internal,na,healthcare,c,T
large,hacking,external,na,education,c,T
large,error,internal,apac,publicadministration,c,T
,hacking,external,na,publicadministration,c,T
large,hacking,external,emea,retail,c,T
large,,external,na,finance,c,T
large,hacking,external,na,healthcare,c,T
large,misuse,internal,na,healthcare,c,T
small,error,internal,apac,healthcare,c,T
,misuse,internal,global,publicadministration,c,T
,malware,external,na,healthcare,c,T
large,error,internal,na,information,c,T
large,error,internal,apac,information,c,T
large,error,internal,apac,publicadministration,c,T
large,error,internal,na,information,c,T
large,error,internal,emea,professional,c,T
small,hacking,external,na,accommodation,c,T
small,error,internal,apac,professional,c,T
small,hacking,external,na,information,c,T
small,,external,na,finance,c,T
small,hacking,external,na,healthcare,c,T
,hacking,external,apac,realestate,c,T
large,hacking,external,na,healthcare,c,T
,error,internal,global,information,c,T
small,,internal,na,healthcare,c,T
small,error,internal,na,professional,c,T
,error,internal,apac,publicadministration,c,T
large,error,internal,apac,information,c,T
large,hacking,external,emea,administrative,c,T
,error,internal,na,finance,c,T
large,misuse,internal,na,healthcare,c,T
small,misuse,internal,na,retail,c,T
,error,internal,na,professional,c,T
,hacking,external,global,information,c,T
,misuse,internal,na,healthcare,c,T
,misuse,external,global,otherservices,c,T
large,hacking,external,lac,finance,c,T
large,social,external,na,healthcare,c,T
small,,internal,apac,publicadministration,c,T
small,malware,external,emea,professional,c,T
,error,internal,apac,finance,c,T
,malware,external,na,healthcare,c,T
large,error,partner,na,healthcare,c,T
small,,external,na,finance,c,T
large,error,internal,emea,publicadministration,c,T
small,hacking,external,apac,education,c,T
small,misuse,internal,na,healthcare,c,T
small,error,internal,apac,information,c,T
large,error,internal,emea,publicadministration,c,T
small,hacking,external,emea,finance,c,T
small,hacking,external,emea,trade,c,T
