 IDnum	freq	P(case)	P(+incident)
1	1	0.0444775	1
2	1	0.113377	1
3	1	0.0300151	1
4	1	0.111228	0
5	1	0.1049	0
6	1	0.101075	0
7	1	0.110914	1
8	1	0.101075	0
9	1	0.0444775	1
10	1	0.110914	1
11	1	0.0167767	1
12	1	0.133493	1
13	1	0.111228	0
14	1	0.1049	0
15	1	0.107614	0
16	1	0.133493	1
17	1	0.133493	1
18	1	0.111228	0
19	1	0.133493	1
20	1	0.120852	0
21	1	0.110914	1
22	1	0.101075	0
23	1	0.0167767	1
24	1	0.107614	0
25	1	0.111228	0
26	1	0.133493	1
27	1	0.0444775	1
28	1	0.107614	0
29	1	0.120852	0
30	1	0.133493	1
31	1	0.107614	0
32	1	0.101075	0
33	1	0.133493	1
34	1	0.133493	1
35	1	0.111228	0
36	1	0.120852	0
37	1	0.1049	0
38	1	0.133493	1
39	1	0.1049	0
40	1	0.133493	1
41	1	0.111228	0
42	1	0.113377	1
43	1	0.101075	0
44	1	0.113377	1
45	1	0.120852	0
46	1	0.110914	1
47	1	0.0167767	1
48	1	0.101075	0
49	1	0.133493	1
50	1	0.101075	0
51	1	0.101075	0
52	1	0.133493	1
53	1	0.113377	1
54	1	0.107614	0
55	1	0.0444775	1
56	1	0.0167767	1
57	1	0.0300151	1
58	1	0.133493	1
59	1	0.111228	0
60	1	0.1049	0
61	1	0.111228	0
62	1	0.101075	0
63	1	0.1049	0
64	1	0.111228	0
65	1	0.107614	0
66	1	0.111228	0
67	1	0.110914	1
68	1	0.0167767	1
69	1	0.0300151	1
70	1	0.113377	1
71	1	0.1049	0
72	1	0.111228	0
73	1	0.0167767	1
74	1	0.0444775	1
75	1	0.110914	1
76	1	0.0300151	1
77	1	0.120852	0
78	1	0.110914	1
79	1	0.113377	1
80	1	0.133493	1
81	1	0.111228	0
82	1	0.111228	0
83	1	0.133493	1
84	1	0.101075	0
85	1	0.101075	0
86	1	0.120852	0
87	1	0.133493	1
88	1	0.133493	1
89	1	0.110914	1
90	1	0.110914	1
91	1	0.0300151	1
92	1	0.0167767	1
93	1	0.0444775	1
94	1	0.101075	0
95	1	0.133493	1
96	1	0.0444775	1
97	1	0.120852	0
98	1	0.1049	0
99	1	0.0300151	1
100	1	0.120852	0
101	1	0.113377	1
102	1	0.133493	1
103	1	0.110914	1
104	1	0.0444775	1
105	1	0.120852	0
106	1	0.133493	1
107	1	0.133493	1
108	1	0.101075	0
109	1	0.111228	0
110	1	0.1049	0
111	1	0.110914	1
112	1	0.101075	0
113	1	0.133493	1
114	1	0.120852	0
115	1	0.1049	0
116	1	0.107614	0
117	1	0.0167767	1
118	1	0.1049	0
119	1	0.107614	0
120	1	0.111228	0
121	1	0.107614	0
122	1	0.101075	0
123	1	0.133493	1
124	1	0.120852	0
125	1	0.110914	1
126	1	0.107614	0
127	1	0.120852	0
128	1	0.120852	0
129	1	0.110914	1
130	1	0.111228	0
131	1	0.113377	1
132	1	0.113377	1
133	1	0.111228	0
134	1	0.101075	0
135	1	0.111228	0
136	1	0.111228	0
137	1	0.107614	0
138	1	0.107614	0
139	1	0.107614	0
140	1	0.101075	0
141	1	0.111228	0
142	1	0.133493	1
143	1	0.107614	0
144	1	0.107614	0
145	1	0.110914	1
146	1	0.120852	0
147	1	0.133493	1
148	1	0.111228	0
149	1	0.111228	0
150	1	0.110914	1
151	1	0.120852	0
152	1	0.133493	1
153	1	0.107614	0
154	1	0.111228	0
155	1	0.0300151	1
156	1	0.1049	0
157	1	0.120852	0
158	1	0.111228	0
159	1	0.120852	0
160	1	0.133493	1
161	1	0.120852	0
162	1	0.101075	0
163	1	0.1049	0
164	1	0.113377	1
165	1	0.120852	0
166	1	0.133493	1
167	1	0.113377	1
168	1	0.113377	1
169	1	0.110914	1
170	1	0.0444775	1
171	1	0.0300151	1
172	1	0.111228	0
173	1	0.101075	0
174	1	0.111228	0
175	1	0.120852	0
176	1	0.111228	0
177	1	0.110914	1
178	1	0.133493	1
179	1	0.113377	1
180	1	0.107614	0
181	1	0.110914	1
182	1	0.113377	1
183	1	0.113377	1
184	1	0.113377	1
185	1	0.133493	1
186	1	0.107614	0
187	1	0.0300151	1
188	1	0.133493	1
189	1	0.111228	0
190	1	0.133493	1
191	1	0.1049	0
192	1	0.101075	0
193	1	0.101075	0
194	1	0.101075	0
195	1	0.113377	1
196	1	0.133493	1
197	1	0.107614	0
198	1	0.133493	1
199	1	0.107614	0
